Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0.06001052,0.01656391,0.027386596,-0.08863495,-0.07861018,-0.013403526,-0.15512998,-0.061759144,0.07393497,0.017810954
0.06000207,0.044840064,-0.037581764,0.028724896,0.10099698,-0.013885533,-0.034567647,-0.023706572,0.037640728,0.010912399
0.060007397,0.010838033,0.0050210925,0.039305076,0.04489207,-0.053702556,0.17324977,-0.03961881,-0.00047478368,0.0062394305
0.060014114,0.08248915,-0.012544817,0.009661818,0.022759728,-0.082697034,-0.09118211,-0.027181035,-0.034660064,0.006661231
0.05998695,0.039500598,-0.00055304717,-0.010658826,-3.2073407e-05,-0.055458464,0.065507635,-0.029259281,0.03582152,-0.040507514
0.060008634,-0.0116903465,-0.01398115,0.011338674,-0.07951334,0.038325753,0.094436996,-0.016547944,0.03990438,-0.0683177
0.06000053,0.012955107,0.026250442,0.037963133,-0.018734386,-0.0143515095,0.023018733,-0.04076138,0.07586085,0.01631717
0.06000717,0.11955153,0.0832615,0.047526438,-0.030294344,-0.07116093,0.014014594,0.047084697,-0.013449119,0.013611149
0.06000938,0.07680681,-0.1270662,-0.0042805383,-0.0044376245,-0.051540524,0.030796036,0.0069697876,0.007187465,-0.01042929
0.05998876,0.08964357,-0.029931499,-0.13592902,-0.09204986,0.06874058,-0.025074665,0.0005409585,0.076874964,0.20048337
0.060015712,-0.05227547,-0.021014547,-0.00824431,-0.031936027,-0.009998361,-0.05867936,-0.12690341,0.07303016,-0.086697765
0.05999484,0.01100994,0.030908238,0.058142282,0.055647835,0.046230372,-0.033599585,0.039959658,0.0040127095,0.018185446
0.06000935,0.026980724,0.015454543,0.013655419,-0.019919029,0.021456776,-0.102867626,0.005312378,0.03995692,0.053144384
0.060004093,-0.053502794,0.037743233,0.063798875,-0.08299454,0.042876128,-0.027501175,-0.0621709,-0.038443755,0.041216552
0.059993062,0.1365236,0.022919953,0.07627916,0.030484514,-0.0031412232,0.0045455256,-0.10628528,-0.024930526,0.01980828
0.0599956,0.0019067996,0.034133073,0.030646678,0.04974612,0.061603434,-0.034928218,-0.010845471,0.026301658,-0.07635326
0.059997097,-0.0040697427,-0.042252634,-0.08954814,-0.046030104,-0.03261519,-0.021133982,-0.052648604,0.021525934,-0.13104057
0.060003962,0.033411015,0.06715005,0.00019435416,0.07981746,-0.008585556,-0.035044815,-0.02197594,-0.014885874,-0.07266823
0.059995547,0.09212059,0.029328248,-0.029463332,-0.036056407,0.02539372,0.027545266,-0.055507656,0.020544464,-0.05255032
0.05998819,0.09911001,-0.05586621,-0.03872495,0.045114927,-0.013482478,0.0011370867,-0.026860466,-0.10744314,-0.0005356409
0.06001026,-0.048571277,0.047214303,-0.017275382,0.06181477,-0.04251255,-0.050644644,-0.08727466,0.089068875,0.011516962
0.060007382,-0.072793156,-0.051658053,0.04915514,0.11393924,-0.03598291,0.10260241,-0.0028001983,0.014631476,0.033226576
0.06000272,0.06506214,0.01670079,0.06177824,0.083220646,-0.055441704,-0.09875498,-0.031830903,0.023023454,-0.08778553
0.059999,0.05063847,-0.012216851,-0.016092831,0.0013820132,0.07973623,0.013517953,0.024619073,0.028287517,-0.10244684
0.060004912,0.07140144,3.6412286e-05,0.06376692,0.076917745,-0.030550592,0.13785717,-0.00624116,-0.00415603,0.02401852
0.059996318,-0.0070449356,-0.00786735,-0.032392927,-0.025067678,0.039753277,-0.11656212,0.015254564,-0.029232943,-0.021427307
0.05999832,-0.042600673,0.07766033,-0.051829536,0.0051155007,-0.06601065,0.061731536,0.009029408,0.00085668033,0.038652286
0.060023904,0.009524457,-0.01814328,0.0028817975,0.039340407,-0.05817102,2.8501929e-05,-0.03164062,-0.020294197,0.02072978
0.05999695,0.02938738,-0.052564062,-0.07355615,-0.04329553,-0.012632703,0.10891159,0.030104216,-0.021017052,0.02867689
0.060015682,-0.07902519,0.07976054,0.011190385,0.08146954,-0.04767858,-0.05844773,-0.07682803,-0.05416606,0.015706897
0.060008124,-0.019728238,-0.043942623,-0.045095023,-0.04499643,-0.0631429,0.043449737,-0.0066702925,-0.0016398411,0.06180285
0.05999333,-0.033623658,-0.032616984,-0.068044715,0.0396891,-0.03974114,-0.13009287,-0.004145134,-0.061549645,-0.025653513
0.060012795,-0.02531449,0.12066194,0.07781523,0.022957727,-0.048562825,-0.0471533,-0.11300401,0.04629849,0.068850994
0.05999835,0.052693754,0.042965688,0.07879264,-0.011767085,0.032606628,0.020966519,-0.006436727,0.026444128,-0.039853603
0.06000063,-0.11209491,-0.09310699,-0.09521239,0.12033351,0.124418974,-0.07136572,-0.05238052,-0.11404649,-0.08832304
0.059990995,0.019389585,-0.06610422,0.0016752683,-0.052623942,0.049424086,0.047477756,0.0015008956,0.028702863,0.045111477
0.059961602,0.059798628,0.1421364,-0.05907201,0.0027278233,0.16388439,0.05067412,0.0046378453,0.014951004,-0.03981677
0.059950225,0.028337704,0.057498027,-0.09358479,0.051058218,-0.025740609,-0.06377277,0.07991905,-0.08028472,-0.098228425
0.059903167,-0.010800616,0.10469984,0.022187265,-0.02762054,0.009691317,0.098124586,0.063271865,0.08076108,-0.0042693308
0.059865724,-0.01085441,-0.044493973,0.12949958,-0.0025177214,0.1058259,0.069229275,-0.036504816,-0.0030515357,0.0953347
0.059840623,0.04226952,-0.0278093,-0.068098225,0.023226652,-0.03216295,-0.087049425,0.031457894,-0.0012327555,0.05659081
0.059789624,-0.045515444,-0.09751502,0.023430398,0.037255242,0.07678401,-0.10780115,0.11625487,0.08284438,-0.0021045122
0.0597533,0.06663159,0.010925583,0.026286071,0.06821035,-0.053126093,-0.07874946,-0.009564941,0.018260365,-0.023800608
0.05971494,0.0982393,0.053975336,0.07391962,0.09073509,0.086727686,-0.07316841,0.008969045,-0.06725723,0.031703893
0.059669632,0.008821207,0.10258684,-0.046102356,0.05082568,-0.026031047,-0.08681159,-0.0050213365,-0.08958127,0.04198857
0.059634477,-0.11742128,-0.0134020485,0.072998315,-0.02520953,0.11637848,0.030881094,0.14073251,0.010679347,0.01926338
0.059580408,-0.021981103,-0.00715179,0.047434654,0.09843575,0.040388875,-0.030293455,-0.023606958,0.074381694,0.05123232
0.059550267,0.04205333,-0.001325674,0.025080852,0.030107668,-0.0040252334,0.027928889,0.016388007,0.024799686,-0.062102124
0.059500165,0.034418933,0.034352507,0.075640306,0.032726955,0.053189535,-0.049462363,-0.0054283156,-0.06076125,-0.004964711
0.05945232,-0.076863036,-0.010419116,0.02763243,0.071786,-0.019499963,-0.02972324,0.0667428,0.008828945,0.09515263
0.059422016,-0.006657304,0.036712375,0.09941361,-0.039255276,0.05088904,0.010434482,0.030826103,0.042231727,-0.020989474
0.059379905,0.0065534892,0.0028899387,0.07434966,-0.025903935,0.096312344,-0.028944202,0.0076301126,-0.0073764157,0.018894395
0.059345257,0.050288294,-0.042166967,0.117513984,0.02559626,0.030441098,0.032566804,0.093679,-0.013755111,0.11634596
0.05931223,-0.12432212,0.05263544,0.027291266,-0.011496614,0.026919,-0.09169117,-0.03809983,-0.111730434,0.036366496
0.05926543,-0.041388705,-0.033909872,0.051873606,-0.018747028,0.09041425,0.025925847,0.0038128404,0.044799097,0.0700828
0.059263967,-0.067674786,0.008920354,-0.078229845,-0.013518554,0.022559965,-0.026040561,0.045493018,-0.051389646,0.01789928
0.059244115,0.07723212,-0.12653823,-0.06509429,0.076788954,0.0028856208,-0.020617219,0.088478945,-0.027713519,0.0710644
0.059237726,0.10602221,-0.074362956,0.055074926,0.07657333,0.008235786,-0.021306867,0.10469514,0.059447493,-0.04180123
